               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.046553,            0.080755,           0.0060646,             0.96619,              0.9742,             0.97041,              0.5772,            0.062129,            0.077329,            0.010226,           0.0056935,           0.0056935,           0.0056935
                  89,            0.046259,            0.082048,            0.005831,             0.96525,             0.97312,             0.97128,             0.57143,            0.062117,            0.076762,            0.010214,            0.005644,            0.005644,            0.005644
                  90,            0.045638,            0.082326,           0.0057644,             0.96358,             0.97283,             0.96636,             0.58115,            0.061971,            0.078698,            0.010525,           0.0055945,           0.0055945,           0.0055945
                  91,            0.045268,            0.079491,           0.0058494,             0.95879,             0.96814,             0.96155,             0.57004,            0.063349,            0.079102,             0.01047,            0.005545,            0.005545,            0.005545
                  92,             0.04591,            0.079486,            0.005904,             0.96212,             0.96354,             0.95974,             0.56134,            0.064272,             0.07948,            0.010259,           0.0054955,           0.0054955,           0.0054955
                  93,            0.045566,            0.079755,           0.0058136,             0.96499,             0.97357,             0.96539,             0.58591,            0.062181,            0.077578,            0.010376,            0.005446,            0.005446,            0.005446
                  94,            0.045764,            0.082431,           0.0060085,             0.96636,             0.97264,             0.97016,              0.5702,            0.063008,            0.078993,            0.010318,           0.0053965,           0.0053965,           0.0053965
                  95,             0.04606,            0.081312,           0.0058435,             0.96485,             0.97103,             0.96595,             0.58253,             0.06198,            0.077206,            0.010392,            0.005347,            0.005347,            0.005347
                  96,            0.045829,            0.080783,           0.0059384,             0.96186,             0.97092,             0.96354,             0.57026,            0.062879,            0.078223,            0.010307,           0.0052975,           0.0052975,           0.0052975
                  97,            0.045774,            0.079172,           0.0058973,             0.95609,             0.96831,             0.95829,             0.56232,            0.063541,            0.079872,            0.010497,            0.005248,            0.005248,            0.005248
                  98,             0.04546,            0.080016,           0.0058811,             0.96169,             0.97364,             0.96853,             0.58415,            0.061511,            0.077019,            0.010361,           0.0051985,           0.0051985,           0.0051985
                  99,            0.045284,            0.079075,           0.0058595,             0.96088,             0.97558,             0.96652,             0.58354,            0.062291,            0.079416,            0.010518,            0.005149,            0.005149,            0.005149
                 100,            0.046246,            0.081718,           0.0061059,             0.95576,             0.96853,             0.96043,             0.56972,            0.063057,            0.080482,            0.010633,           0.0050995,           0.0050995,           0.0050995
                 101,            0.045368,            0.081386,            0.005773,             0.96154,             0.97241,             0.96629,             0.59526,             0.06163,            0.078278,            0.010452,             0.00505,             0.00505,             0.00505
                 102,            0.045634,            0.080348,           0.0058357,             0.96114,             0.96899,             0.96237,              0.5781,            0.062046,             0.07847,            0.010405,           0.0050005,           0.0050005,           0.0050005
                 103,            0.045318,            0.079472,           0.0057724,             0.95307,             0.96633,             0.96138,             0.57721,             0.06314,            0.081009,            0.010607,            0.004951,            0.004951,            0.004951
                 104,            0.045351,            0.079322,           0.0058183,             0.95231,             0.97092,             0.95821,             0.57971,             0.06157,            0.078173,            0.010395,           0.0049015,           0.0049015,           0.0049015
                 105,            0.045089,            0.077928,           0.0058766,             0.95274,             0.97163,             0.96273,             0.56503,            0.062642,            0.081378,            0.010571,            0.004852,            0.004852,            0.004852
                 106,            0.044852,             0.07885,           0.0058638,             0.96363,             0.97468,             0.97005,             0.59381,            0.060849,            0.078194,            0.010297,           0.0048025,           0.0048025,           0.0048025
                 107,            0.044946,             0.07951,           0.0058169,             0.96736,             0.97458,             0.96796,              0.5716,            0.061013,            0.078515,            0.010609,            0.004753,            0.004753,            0.004753
                 108,            0.044895,            0.076904,           0.0058819,             0.96172,             0.97255,             0.96437,             0.55864,            0.063217,            0.080357,            0.010441,           0.0047035,           0.0047035,           0.0047035
                 109,            0.044583,            0.080432,           0.0056327,             0.96065,             0.96978,              0.9627,             0.56121,            0.062992,            0.081998,            0.010718,            0.004654,            0.004654,            0.004654
                 110,            0.044738,            0.078301,           0.0056991,             0.96466,             0.96929,             0.96601,             0.58725,            0.062466,            0.079744,            0.010473,           0.0046045,           0.0046045,           0.0046045
                 111,            0.045197,             0.07961,            0.005942,              0.9607,             0.97118,             0.96699,             0.59628,            0.061201,            0.077166,            0.010321,            0.004555,            0.004555,            0.004555
                 112,            0.044635,            0.077838,            0.005746,             0.95843,              0.9702,             0.96377,             0.57595,            0.062332,            0.081635,            0.010441,           0.0045055,           0.0045055,           0.0045055
                 113,            0.044421,             0.07935,           0.0055925,             0.95828,              0.9619,             0.96012,             0.58346,             0.06302,            0.080316,            0.010636,            0.004456,            0.004456,            0.004456
                 114,            0.044347,            0.078869,           0.0057943,             0.96057,             0.96939,             0.96498,             0.57136,             0.06209,            0.079623,            0.010414,           0.0044065,           0.0044065,           0.0044065
                 115,            0.044915,            0.076626,           0.0057773,             0.95981,              0.9717,             0.96363,             0.57853,             0.06195,            0.080413,            0.010286,            0.004357,            0.004357,            0.004357
                 116,            0.044143,             0.07859,           0.0055719,             0.95918,             0.96999,             0.96322,             0.58611,            0.062185,             0.08039,            0.010421,           0.0043075,           0.0043075,           0.0043075
                 117,            0.044981,            0.078624,           0.0059348,             0.95711,             0.96808,             0.95959,             0.58037,            0.062837,            0.081801,            0.010571,            0.004258,            0.004258,            0.004258
                 118,            0.043623,            0.077833,           0.0055749,             0.96013,             0.96528,             0.96233,             0.58743,             0.06229,             0.07972,            0.010536,           0.0042085,           0.0042085,           0.0042085
                 119,            0.043509,            0.078151,           0.0056874,             0.96212,             0.96801,              0.9637,             0.57386,            0.062294,            0.080437,            0.010422,            0.004159,            0.004159,            0.004159
                 120,             0.04412,            0.078133,           0.0056446,             0.96308,             0.96828,             0.96365,             0.57589,            0.062124,            0.081313,            0.010423,           0.0041095,           0.0041095,           0.0041095
                 121,            0.043586,            0.076597,           0.0054521,             0.95816,             0.96895,             0.96133,             0.58692,            0.062475,            0.081149,            0.010512,             0.00406,             0.00406,             0.00406
                 122,            0.044147,            0.078333,           0.0056791,             0.95765,             0.96591,             0.95793,             0.55878,            0.063827,            0.082582,            0.010895,           0.0040105,           0.0040105,           0.0040105
                 123,            0.044198,            0.079287,           0.0055842,             0.96033,                0.97,             0.96532,             0.58215,            0.061545,            0.080068,            0.010389,            0.003961,            0.003961,            0.003961
                 124,            0.043759,            0.077971,           0.0056633,             0.96667,             0.97262,             0.96739,             0.57388,            0.062195,            0.081285,            0.010552,           0.0039115,           0.0039115,           0.0039115
                 125,            0.043692,             0.07634,           0.0055202,             0.95842,             0.96783,             0.96063,              0.5728,            0.063089,            0.082542,            0.010364,            0.003862,            0.003862,            0.003862
                 126,            0.043835,            0.076301,             0.00557,             0.95622,             0.96962,             0.96235,             0.57461,            0.062493,            0.081642,            0.010487,           0.0038125,           0.0038125,           0.0038125
                 127,            0.043847,            0.077635,           0.0055601,             0.95773,             0.96689,             0.96166,             0.57278,            0.062983,            0.082343,            0.010608,            0.003763,            0.003763,            0.003763
                 128,            0.043934,            0.075586,            0.005664,             0.96025,             0.97206,             0.96387,             0.56668,            0.062886,             0.08367,            0.010892,           0.0037135,           0.0037135,           0.0037135
                 129,            0.043827,            0.076841,           0.0056365,             0.95696,             0.96557,             0.95473,             0.54852,            0.064276,            0.083787,            0.010669,            0.003664,            0.003664,            0.003664
                 130,             0.04288,            0.075481,           0.0053959,             0.96439,             0.97518,             0.96798,              0.5826,            0.061324,             0.08228,            0.010803,           0.0036145,           0.0036145,           0.0036145
                 131,            0.043559,            0.075429,           0.0055857,             0.95857,             0.97147,              0.9622,             0.58572,            0.061457,            0.082713,            0.010734,            0.003565,            0.003565,            0.003565
                 132,            0.043113,             0.07567,           0.0055533,             0.96094,              0.9695,             0.96207,             0.58677,            0.062004,            0.081572,            0.010474,           0.0035155,           0.0035155,           0.0035155
                 133,             0.04302,            0.073644,           0.0055897,             0.96433,             0.97099,             0.96421,             0.58762,            0.062512,            0.081103,            0.010507,            0.003466,            0.003466,            0.003466
                 134,            0.043163,            0.075482,           0.0055212,              0.9624,             0.97175,             0.96354,             0.57919,            0.062743,            0.083138,            0.010467,           0.0034165,           0.0034165,           0.0034165
                 135,            0.042453,             0.07606,           0.0053626,             0.95406,             0.96786,             0.95438,             0.56801,            0.064081,             0.08491,             0.01067,            0.003367,            0.003367,            0.003367
                 136,            0.042496,            0.074288,           0.0053823,             0.96197,             0.97333,             0.96634,             0.56725,            0.062791,            0.083908,             0.01069,           0.0033175,           0.0033175,           0.0033175
                 137,            0.043091,            0.074736,           0.0055137,             0.95847,             0.96872,             0.95906,              0.5727,             0.06305,            0.082068,            0.010459,            0.003268,            0.003268,            0.003268
                 138,            0.043381,            0.075091,           0.0057369,             0.95726,             0.96931,             0.96102,             0.55956,            0.062844,            0.084749,            0.010796,           0.0032185,           0.0032185,           0.0032185
                 139,            0.042846,            0.073992,           0.0054935,              0.9618,             0.97136,             0.96489,             0.57384,            0.062363,            0.084075,             0.01062,            0.003169,            0.003169,            0.003169
                 140,            0.042173,            0.073504,           0.0053739,             0.95959,             0.96892,             0.96166,             0.57562,            0.062064,            0.083516,            0.010539,           0.0031195,           0.0031195,           0.0031195
                 141,            0.042061,            0.074966,           0.0052762,             0.95895,             0.96747,             0.95942,             0.58024,            0.062537,            0.082863,            0.010522,             0.00307,             0.00307,             0.00307
                 142,            0.043046,            0.074811,           0.0056182,             0.95501,             0.96482,             0.95739,             0.56828,            0.063321,            0.084359,            0.010487,           0.0030205,           0.0030205,           0.0030205
                 143,            0.043051,            0.075106,           0.0056805,             0.96058,             0.97052,              0.9647,             0.57459,             0.06216,            0.082284,            0.010544,            0.002971,            0.002971,            0.002971
                 144,             0.04269,            0.075496,           0.0055477,             0.95628,             0.96407,             0.95027,             0.55962,            0.063966,            0.085023,            0.010696,           0.0029215,           0.0029215,           0.0029215
                 145,            0.042218,            0.074713,             0.00543,              0.9615,             0.97088,             0.95815,             0.57328,            0.062263,            0.081688,            0.010405,            0.002872,            0.002872,            0.002872
                 146,            0.042624,            0.074159,           0.0054324,             0.95964,             0.97049,             0.96125,             0.57738,            0.062221,             0.08365,             0.01055,           0.0028225,           0.0028225,           0.0028225
                 147,            0.042086,            0.073933,           0.0053328,             0.95997,             0.97125,             0.95879,             0.57888,            0.062555,            0.084899,             0.01078,            0.002773,            0.002773,            0.002773
                 148,            0.041869,            0.074686,           0.0052723,              0.9628,             0.96538,             0.95956,             0.57338,            0.063054,            0.085387,            0.010727,           0.0027235,           0.0027235,           0.0027235
                 149,            0.042499,            0.074687,           0.0054623,             0.95717,             0.96666,             0.95495,             0.57524,            0.062879,            0.083869,            0.010358,            0.002674,            0.002674,            0.002674
                 150,            0.042519,            0.073252,           0.0054712,             0.96136,             0.97134,             0.96069,              0.5776,            0.061681,            0.084221,            0.010636,           0.0026245,           0.0026245,           0.0026245
                 151,            0.041575,            0.075156,           0.0052247,             0.96033,             0.97474,             0.96452,             0.57419,            0.061867,            0.083603,            0.010516,            0.002575,            0.002575,            0.002575
                 152,            0.041476,            0.073254,           0.0052261,             0.95516,             0.96715,             0.95627,             0.56625,            0.063556,            0.084939,            0.010408,           0.0025255,           0.0025255,           0.0025255
                 153,            0.042305,            0.074562,           0.0054874,             0.96133,             0.97243,             0.96099,             0.57141,            0.063139,            0.084717,            0.010528,            0.002476,            0.002476,            0.002476
                 154,            0.041934,            0.073561,           0.0055414,             0.95886,             0.96914,             0.96162,             0.56543,            0.062344,            0.083921,            0.010727,           0.0024265,           0.0024265,           0.0024265
                 155,            0.041775,             0.07143,           0.0054435,             0.96117,             0.97147,             0.96373,             0.56843,            0.062811,             0.08551,            0.010778,            0.002377,            0.002377,            0.002377
                 156,            0.041633,            0.072123,           0.0052158,             0.96275,             0.97159,             0.96173,             0.56938,            0.062183,            0.085052,            0.010769,           0.0023275,           0.0023275,           0.0023275
                 157,            0.041399,            0.071356,           0.0051653,             0.95934,             0.96794,             0.95757,             0.56847,            0.063058,             0.08581,            0.010561,            0.002278,            0.002278,            0.002278
                 158,            0.042892,            0.072979,            0.005578,             0.95975,              0.9699,             0.96075,             0.57316,            0.062933,             0.08585,            0.010568,           0.0022285,           0.0022285,           0.0022285
                 159,            0.041519,            0.073946,           0.0053986,             0.96092,             0.96787,               0.959,             0.57003,            0.062772,            0.086367,             0.01064,            0.002179,            0.002179,            0.002179
                 160,            0.041828,            0.073021,           0.0054007,             0.95682,             0.96748,             0.95493,             0.56687,            0.062643,            0.087524,            0.010899,           0.0021295,           0.0021295,           0.0021295
                 161,            0.040986,            0.071786,           0.0050334,             0.96193,             0.97245,             0.96221,             0.57875,            0.062862,            0.086994,            0.010854,             0.00208,             0.00208,             0.00208
                 162,            0.041987,            0.073492,           0.0054393,             0.95704,             0.96797,             0.95689,             0.56872,            0.063113,            0.085615,            0.010674,           0.0020305,           0.0020305,           0.0020305
                 163,            0.040897,             0.07206,           0.0052514,             0.95921,             0.96945,             0.95886,             0.57517,            0.062938,            0.085405,            0.010698,            0.001981,            0.001981,            0.001981
                 164,            0.041068,            0.072306,           0.0052503,             0.95865,             0.97046,             0.96059,             0.57658,            0.062376,            0.086844,            0.010786,           0.0019315,           0.0019315,           0.0019315
                 165,            0.041257,            0.071749,           0.0051994,              0.9621,             0.96964,             0.96161,             0.58474,            0.062401,            0.085753,             0.01055,            0.001882,            0.001882,            0.001882
                 166,            0.041271,            0.071122,           0.0053924,             0.95889,             0.97059,             0.95972,              0.5757,            0.062331,            0.086252,            0.010765,           0.0018325,           0.0018325,           0.0018325
                 167,            0.041351,            0.072602,           0.0053429,              0.9594,             0.96679,              0.9572,             0.57003,            0.062812,            0.088071,            0.010619,            0.001783,            0.001783,            0.001783
                 168,            0.041104,            0.070471,           0.0053114,             0.96059,             0.97192,             0.96239,             0.58243,            0.061943,            0.087175,            0.010796,           0.0017335,           0.0017335,           0.0017335
                 169,            0.041071,            0.071105,           0.0053558,             0.96178,             0.96777,             0.95823,             0.56847,            0.062296,            0.085761,            0.010629,            0.001684,            0.001684,            0.001684
                 170,            0.040798,            0.072228,           0.0053059,             0.95908,             0.97033,             0.95849,             0.57742,            0.062557,            0.087671,            0.010844,           0.0016345,           0.0016345,           0.0016345
                 171,            0.041018,            0.071783,           0.0052499,             0.95915,             0.97173,             0.96046,             0.57795,            0.062896,            0.087774,            0.010754,            0.001585,            0.001585,            0.001585
                 172,            0.041733,             0.07162,           0.0053926,             0.95996,             0.97234,             0.96266,             0.58266,            0.061973,            0.086562,            0.010665,           0.0015355,           0.0015355,           0.0015355
                 173,            0.041052,            0.074606,           0.0053339,             0.95992,             0.97068,             0.96256,             0.57168,            0.062289,            0.087056,            0.010667,            0.001486,            0.001486,            0.001486
                 174,            0.040823,            0.071238,           0.0052319,             0.95665,             0.96897,             0.95886,             0.56959,            0.062752,            0.087484,            0.010758,           0.0014365,           0.0014365,           0.0014365
                 175,             0.04101,            0.071643,           0.0053599,             0.95911,             0.97184,             0.95882,             0.57407,            0.062659,            0.087744,            0.010701,            0.001387,            0.001387,            0.001387
                 176,            0.040869,            0.070785,           0.0052318,              0.9578,             0.96604,             0.95623,             0.56618,            0.063448,            0.088262,            0.010667,           0.0013375,           0.0013375,           0.0013375
                 177,            0.040816,            0.069855,           0.0052085,             0.95781,              0.9682,             0.95738,             0.57311,            0.063281,            0.088223,            0.010498,            0.001288,            0.001288,            0.001288
